tweet,sentiment
"lumayan enak si, sayang daerah rumah belom ada kopi kenangan  https://t.co/pGolnGoooq",Positive
"━ 𝐒𝐎𝐌𝐄𝐓𝐇𝐈𝐍𝐂 𝐂𝐨𝐟𝐟𝐞𝐞𝐢𝐧𝐜 𝐋𝐢𝐩 𝐒𝐜𝐫𝐮𝐛!♡  Siapa yg mau punya bibir sehat? Kali ini aku bakalan #racuninskincare lagi dari @somethinc4u x Kopi Kenangan. Ada yg udah punya dan nyoba? Lip scrub ini beda dari yg lain, jadi dia ini lebih praktis (✧ω✧)♡  https://t.co/Yv4bIDxOdy",Positive
"@koleksifaiza @Kopikenangan_ID Syuka kopi bangeeeeet, sukses selalu ya",Positive
@koleksifaiza @Kopikenangan_ID Kopi favorit aku🤩sukses selalu🤩,Positive
Apa karena minum kopi kenangan large double shot makanya ga bisa tidur gini? -_-,Positive
"Bosen makan bakso tinggal makan shabu grill  Bosen makan shabu grill tinggal makan sushi  Bosen makan sushi tinggal makan bakso  Kurang kopi kenangan aja nih, Gausah jauh jauh lagi deh makan enak 🤩  https://t.co/OnbqBJaVZU",Positive
"membayangkan begadang sambil ngemil ayam mekdi spicy, sate padang, boba milk tea, pisang bakar, pecel lele, kopi kenangan, cheese tea, sate taichan, baso aci, seblak, martabak telor, jiwa toast, mi ayam gerobak biru, dan tahu krispi depan komplek..........",Positive
2018. Jakarta. Sepeda. Rokok. Teh. Kopi. Bakso. Hotel. Bioskop. Jengkol. Bebek.   Kehidupan. Kenangan. Cita-cita. Perasaan. Luka.,Negative
"@Prihatincore @SanHolo1977 coba kopi2 laen leks, jangan sbuks atau kenangan. kopi starling yang kena keringet abang2nya dah cobain. kali bersahabat ama badan, hati, dan pikiran.",Positive
Kopi kenangan mantan udah paling enak. Yg less ice,Negative
"@SanHolo1977 Maneh asumsi darimana ieu jembutt, justru krn kopi kenangan ini lgsg pusing aing, wkwk, so far si kopi2 botolan + kopi kenangan ga di acc lambung urg. Sejauh ini yg di acc alias ga bikin auto gerd baru sbucks ama kopi herbal.. menghadeh",Negative
"@SoesoeKoetjink Justru nyoba kopi kenangan tea mang buka deket komplek.. daamn lgsg kumat wkwk, lanzoprasole save the day btw wkwk, elixir pisan wkwk, tar nyoba nescafe black tea ajadah wkw",Negative
"tiap buka hp bawaanya skrg mau buka gofood, grabfood, kopi kenangan app, sm shopeefood. hey ini saya mau makan mulu keknya.....",Positive
"Mahal, mahalan point coffee tapi tetep enakan kopi kenangan. Ya namanya juga kenangannn",Negative
"Target nak try kopi kat Bibliophile, orang kata minum kopi ni dapat melupakan kenangan pahit.",Negative
@missufe Kopi kenangan enak makji,Positive
"Untung hari ini bisa buat beli kopi kenangan mantan, lumayan pollll😭♥️",Positive
"Lo makan nasi aja jadinya gula, trus minuman lo itu gula semua. Kopi kenangan dll itu juga gula. Gula trosss",Positive
@missufe Kopi kenangan mantan enak kak ji.,Positive
NGGA BISA TIDUR GEGARA KOPI KENANGAN 😭,Positive
@missufe Kopi kenangan enak Makji🤤🤤 jadi pengen aduuuh,Positive
@missufe kopi kenangan makjiiii,Negative
"Kopi, kenangan mantan. Tp jus mangga bisa dibicarakan baik-baik",Positive
@renokuuu Bikin kopi di kopi kenangan va,Negative
"@mochamadarip kalo kopi ada namanya kopi kenangan yg ini namanya sirkuit angan2, bakal dipenjara lo nis",Negative
Jends menu di kopi kenangan yang recommended apa ya?,Negative
@FOOD_FESS kopi kenangan,Negative
Guis bingung bgtt nihh mesen kopi kenangan atau menantea yaa,Negative
Ini beli kopi kenangan kaya minumin air gula. Manis banget.,Positive
"@rifaalts @abnovaal @Kopikenangan_ID Bubar ajaa, nanti kalian celebek jadinya",Negative
"@abnovaal @elokmufrikhanis @Kopikenangan_ID Hahahaha cocok tak km jadi arek indie, suka mengingat kenangan dibawah indahnya senja 🤣🤣",Positive
"@elokmufrikhanis @Kopikenangan_ID aku masih, inih sumber kenangan @rifaalts yang ga kering-kering",Negative
@commedesjay UDAH KAYAK KOPI KENANGAN,Negative
@abnovaal @Kopikenangan_ID Bahkan kenangannya juga ga ada 😢,Negative
@lumioush hadah kopi kenangan,Negative
@bubblypleased Kopi kenangan,Negative
@lumioush kopi kenangan lagi promo ???,Negative
Diare sore ini disponsori oleh Milo Dinosaur by Kopi Kenangan.,Negative
@Husen_Jafar traktiran makan siang sm salah satu manajer di kantor (karena beliau baru pindah rumah). terus agak sorean ditraktir es hojica latte kopi kenangan sm hrd kantor gara-gara habis curhat kerjaan ☀️🍒,Negative
"dan kali ini juga sampe bingung mau ngabisin duit gimana, padang all you can eat udah, dear butter udah, kopi kenangan udah, masih ada 6 juta",Negative
"3,5 juta sebulan fix air galonnya kopi kenangan campur boba brown sugar🙄",Negative
kgn juga di per minggu² yg selalu minum kopi kenangan,Negative
Dingin juga ya ac di kopi kenangan:))),Negative
"@elokmufrikhanis @Kopikenangan_ID wkk, kopinya gada tinggal kenangananya aja",Negative
kopi kenangan yang marie regal shake enak banget???!?!?!? nagih 😞😞😞😞,Positive
"@worksfess bukan biaya hidup di Yogya yang tinggi, tapi gaya hidup. contoh aja: ngopi di burjo lebih murah jauh daripada kopi Janji jiwa, Lain hati, kenangan, dll yang sudah menjamur di Yogya 😁",Positive
Berawal dari temen gue yg sering ngajakan beli kopi kenangan biar bisa dpt promo di grabfood eh jd keterusan beli kopi kenangan melulu. Bahkan kita suka tuker informasi kalo ada promo kopi kenangan.,Positive
Nahan bgt ga gofood kopi kenangan bismillah,Positive
KOPI KENANGAN Promo SPESIAL AWAL TAHUN - Diskon Hingga 50% khusus transaksi dengan Kartu Kredit via Aplikasi Kopi Kenangan  cek langsung promo lengkapnya di bawah ini  https://t.co/VziLLEfnnd  #kopikenangan #promo #diskon  https://t.co/TsarSMoaMa,Positive
"Yang hobinya ngopi pasti udah gak asing lagi sama Kopi Kenangan kan? Yup, MinNet mau say congrats dulu ke Kopi Kenangan karena sudah jadi Unicorn FnB pertama di Indonesia! 🥳  https://t.co/c3yJoiZbWl",Negative
"Berjalannya waktu, ketika gw alhamdulillah udh pny penghasilan. Sekarang membeli kopi kenangan udh menjadi candu. Minimal seminggu gue beli 3x kopi kenangan. Senagih itu.",Positive
Walaupun pd saat itu gw udh pny penghasilan walaupun ga byk karna masih intern. Harga segelas kopi kenangan itu masih mahal menurut gue. Karna gw masi berfikir daripada gw beli segelas kopi 18rb mending gue beli makan.,Negative
"Gue inget bgt pertama kali gue beli kopi kenangan itu ketika gue intern. Di dlm gedung itu ada counter jualan kopi kenangan. Waktu itu berfikir, cobain ah sekali kali. Dan ketika pertama nyoba, jujur emg enak bgt si.",Positive
"Dulu uang jajan gue tuh sehari 20rb. Ongkos kereta PP 6rb. Kalo gue gak bawa bekel, beli warteg 8rb (nasi, orekan, sayur). Makanya knp gue ngliat org beli kopi kenangan itu keren, karna dgn uang jajan segitu, gue gak mampu beli.",Positive
"Dulu ketika jaman masih kuliah, melihat temen yg bisa beli kopi kenangan tuh berasa berdecak kagum gt. Wow keren bgt nih org bisa beli kopi mahal. Karna menurut gue dulu dgn harga segelas kopi bisa dialihkan buat beli nasi warteg yg harganya cuma 8rb.",Positive
"Awal tahun dimulai dengan pekerjaan yang masih fresh santai, sore cuaca mendung, kopi kenangan dan serpihan bolu meranti, nikmatnya~  https://t.co/feVpQZwnDC",Negative
/jbrfess/ kopi kenangan ada gak sih di jember ?,Negative
"Kopi masa kini:  Kopi Susu Tetangga, Kopi Susu Keluarga, Kopi Kenangan Mantan, Kopi Lain Hati, Kopi Lima Detik.  Apa lagi?",Negative
gila bet kopi kenangan caffeinnya. gamau lg beli. kuat bgt. padahal beli yg vanilla latte. 😭😭,Negative
"14.03.20 ini pertama kalinya kita maen berdua trus maennya nyumput"" soalnya takut di cie""in  i still remember – kita liat promo kopi kenangan trus yauda kita beli aja kirain delivery trus ternyata hrs self-pick up ke fcl💆‍♀️  https://t.co/ZACeMM87xp",Negative
"@catsylum Starbucks mah terlalu biasa, sekarang jamannya kopi kenangan mantan yang baru jadi unicorn",Negative
@WahabIhsan09 @Kopikenangan_ID Enak banget loh kopinyaaa,Positive
@vegibagasp @Kopikenangan_ID Emang seenak ituuuu💃🏻💃🏻,Negative
"@pergi_bulu Kopi kenangan sih jelas, tpi gatau dah dia tuh bisa franchise buat publik apa khusus perusahaannya aja.  Kopi kenangan dri dulu growthnya udah gg, skrng udah jadi unicorn",Positive
Nicee. 2022 ini baik. Aku makan mie ayam hari ini dengan minum kopi kenangan 🤩 aku niatnya mau nulis outline ceritaku tp ujungnya mager itu aja jeleknya 👎,Positive
demi apa jends mw ada kopi kenangan di pwt  https://t.co/J90l2MERTE,Negative
@terngambek @FOOD_FESS Kopi kenangan?,Negative
@marlbororedflag Bos kopi kenangan,Negative
@Sackboy__ Pesen diapk kopi kenangan,Negative
Cerita roti emang top notch anyinggg produk2 kopi kenangan gaada yang ngecewain asli dah (TERUTAMA CHIGO),Negative
"Sejak pagi hingga sore udh ngabisin dua gelas kopi, kebetulan teman lama dari jakarta datang, akhirnya ngopi lagi, asam lambung naik, sampek ke Ubun Ubun, ""asam itu bercampur dgn keresahan dan  kenangan masa lalu dan masa yg akan datang"". Alhamdulillah . . . .",Negative
Kursi tua itu menyimpan kenangan  Ketika kita duduk berdua Minum kopi sambil menikmati bintang-bintang Yang menyalakan rindu #puisipendek @PelangiPuisi,Negative
"Guis kaget bgt sengenyangin ituuu, lembut dan kejunya luar dalam, cuma 12rb aja tadi aku beli kopi kenangan, btw sempet malu karna cuma mau beli roti doang tp ku beranikan diri dan gak nyesel karna enakk😭❤  https://t.co/n8sE4QJYHy",Negative
"@kopikenangan_ Hahaha, penilaian itu datang dari orang lain, gak valid kalo dari diri sendiri 🤭",Positive
"@kopikenangan_ Oalah ok2, maap banget kalo aku keliatan lagi nyari temen banget 😆",Negative
"@koh_patr Hehehe, aku bukan org baik kok.. 🙂",Positive
@koh_patr Nanti yak wkk,Negative
@kopikenangan_ Terimakasih orang baik ♥️,Positive
@joohanyap Ahelah tricepnya 😍,Negative
@kopikenangan_ Gak ada rencana staycation gitu koh? 🤭,Negative
@LordBaal007 Wkwkwk semangatt!,Negative
@koh_patr Sama2,Negative
@koh_patr Yuuk hehehe,Negative
@koh_patr Tipsnya mesti fokus dan stres hahahaha,Negative
@yuwonooktav @LKSMDR @ngalamfess Yg bilang kopi kenangan ga enak kemarin gimana lanjutanya mas yuw?,Positive
COOKIESNYA KOPI KENANGAN ENAKKK,Negative
"aku kan minum es kopi kenangan mantan yang isinya kopi susu tanpa gula aren ya, kok di fat secret kalorinya cuma segini? beneran kah? diet!  https://t.co/2Ywnum7TwB",Negative
"Trauma bgt woee, lagi minum @Kopikenangan_ID tiba-tiba ada grenjel-grenjel padahal minum vanilla latte biasa, pas dilepehin ternyata 🤮🤮🤮 plis bikin trauma bgt  https://t.co/2ThCUMn2AB",Negative
@kopikenangan_ Punya pengalaman pribadi yang tidak menyenangkan soalnya Ko 😭😭😭,Negative
@kopikenangan_ Duh mupeng 🤤🤤,Negative
@kopikenangan_ Bagi tips dong Ko 🤭,Negative
@koh_patr Hehe gak boleh minder 😁,Negative
"@Kopikenangan_ID tolong ya ini pelayanan gak cerdas bgt, lama, padahal cuma 2 antrian doank. Yg keselnya ternyata punyaku dah jadi dari tadi, tapi gak dipanqggil, nyelesein orderan sebelumnya... Kesel donk 2 antrian doank hampir setengah jam nunggunya  https://t.co/yLvGfmY4hr",Negative
Kopi kenangan atau janji jiwa,Negative
Anjir kopi kenangan ada di marakash😭 dilema ada family mart sama kopken😭,Negative
@subGEJOKGENCY gua sogok kopi kenangan juga jadi sohib sama pak muh.,Negative
eh langsung diisiin shopeepay dong disuruh beli kopi kenangan wkwkwkwkw  https://t.co/IeEvrAhsoG,Negative
@koleksifaiza @Kopikenangan_ID Kopi kenangan 😍👌🏻,Negative
"@KITATOORUUU wkwkwk kopi kenangan, janji jiwa, dll 🥲🥲",Negative
kopi kenangan atau janji jiwa?? huhu lagi pengen ngopi tapi lambung ini gembel sekali 🥲🥲,Negative
jends kopi kenangan yang di pabuaran kapan buka?,Negative
Craving for kopi kenangan mantan. KENAPA SIHHHH JAUH BANGETTTRRRRRR,Negative
Hampir setiap minggu gue dapet kopi janji jiwa atau kopi kenangan mau di tolak ga enak. Masalahnya detak jantung w jadi ga karuan abis minum kopi 😭,Negative
@trewellu Kopi kenangan or janji jiwa 😄,Negative
"@realllltiara Kebanyakan minum kopi kenangan, makanya jadi edgy 😹😹😹",Negative
@aauulli @Kopikenangan_ID wih langganan kopi kenangan juga nih yaaa,Negative
@thenightpearl Bogor kota hujan Bogor kota kenangan Ada Kopi..,Negative
"@anniepwkt Kesempurnaan rasa kopi berasal dari rasa pahitnya. Oleh karena itu, kenangan pahit akan membentuk kita yang lebih baik di masa depan.""  Pagi juga mba @anniepwkt  Salam sehat dan santun 🙏 Salam #kopihitam😊☕",Positive
@efenerr Kopi Kenangan satu tangki??? 😱😱😱,Negative
@sandiuno @Kopikenangan_ID Kopi kenangam itu pake jenis biji kopi apa ya. Apa betul dr brazil,Positive
"Terharu but @Kopikenangan_ID , karena ini kopi kesukaan gw yang setia nemenin disaat ngerjain tugas dan sekarang gw bangga #KopiKenangan jadi New Retail F&amp;B Unicorn pertama di Asia Tenggara #FromMantanToUnicorn",Positive
"@Kopikenangan_ID biasa aman di lambung n dada mknya alwas jd fav. tp ini parah si cafeinnya tinggi bgt pdhl pesen yg normal. Gada rasa gulanya, berasa minum americano ini sih. Kebetulan beli dibeda cabang bkn tmpt biasa yg enak. Baristanya gmn si ini raciknya bisa beda🥲  https://t.co/dbyD2UCVWK",Positive
Tweet ini merupakan hasil dari tidur siang ditambah minum kopi kenangan,Negative
"@sandiuno @Kopikenangan_ID kopi kenangan mantan low sugar, beuhhh mantappp",Negative
"Kopi kenangan jadi unicorn, indosat sama tri merger.. hebat..",Negative
"@noturhapiness Tidak gratis bestie, kopi kenangan 1 tx",Positive
@bankmandiri min qris nya ada masalah ga ya? Uda 2x di hari yg berbeda mau bayar di kopi kenangan gagal terus. 😅,Negative
salted caramel macchiato less sugar kopi kenangan enak banget :’),Positive
F&amp;B indo bisa jadi unicorn itu keren bgt sih. Kopi kenangan madep 🔥,Positive
Promo KOPI KENANGAN Merchandise of the Month – GRATIS minuman Kenangan Milk Tea (R) atau Jasmine Earl Grey Milk Tea (R)  https://t.co/74t3cxjMUw,Positive
"@pineswonu iya kakkkk. Janjiw nih lebih kerasa caramel nya, kalo kenangan baru kerasa kopi nya. jadinya gue lebih suka sama janjiw dibanding kenangan 😔 tapi emang dasarnya aja sih gak bisa minum kopi pait kebanyakan, jadinya mual sama sakit perut",Negative
@sandiuno @Kopikenangan_ID Saya suka banget avocado coffee tanpa gula. Menurut mereka alpukatnya asli dari buah. Tapi emang enak sih berasa alpukatnya,Positive
"caramel macchiato nya lebih enak janjiw dibanding kenangan. ini emang karna gue nya sih yang gak terlalu suka sama kopi yang pahit, jadinya gitu deh  https://t.co/mhlgitKIk5",Negative
@sandiuno @Kopikenangan_ID Ga nyangka aku tuh,Negative
@ofOurJournal Sambil minum kopi kenangan mangtan.g,Negative
Beli tumbler di kopi kenangan harganya murah yah... dibanding sbux.... unyunya mirip,Positive
"Urusan kopi di perut, gue percayakan ke Kopi Kenangan. Bahkan tumblr sbux gue terkadang diisi kenangan mantan. But still coklatnya starbucks tetep engga ada yg ngalahin 😂",Negative
@darkcruise @sandiuno @Kopikenangan_ID Alhamdulillah,Positive
@sandiuno @Kopikenangan_ID Bismillah  Bismillah  Makan kecapi diatas candi:kita ngopi bareng bang Sandi 🙏🙏,Positive
@chamilillala Aku punya teman.. horee😂😂  Kopi tuku enak.. pokoknya janji jiwa-kenangan 🙅🏻‍♀️🤭 Msh better kopi point indomaret dah.. wkwkwk,Negative
"@sandiuno @Kopikenangan_ID pengen sih pak, tapi pada kurang pengalaman nih",Negative
@sandiuno @Kopikenangan_ID Jossse pak mentri. Jaket kemarin pak.,Negative
@sandiuno @Kopikenangan_ID Sy driver sopi food tiap hari kirim kopi ini laris banget kopinya pa mentri,Negative
"Dari sejak didirikan, @Kopikenangan_ID telah berhasil menciptakan lapangan kerja bagi lebih dari 3.000 karyawan, dengan 600 gerai tersebar di 45 kota di Indonesia. Keren!  Apresiasi karena Kopi Kenangan terus berinovasi dan menjadi bagian dari digitalisasi.",Positive
"Pecinta Kopi Kenangan, mana suaranya..??  @Kopikenangan_ID baru saja menjadi Unicorn kategori F&amp;B (makanan dan minuman) pertama di Asia Tenggara dengan nilai valuasi menembus US$ 1 miliar. Bangga dengan produk karya anak bangsa!  https://t.co/dOc2LUcYUP",Positive
"WOW!!! Daebakk👏🏻👏🏻  Personal, aku ga terlalu cocok sama kopi kenangan. Buat aku yg lumayan addict sm kopi, agak ga berasa kopi nya cenderung manis aja🤭✌🏻  Tapi klo nnti IPO, aku siyap berpartisipasi koq😅🏃🏻‍♀️🏃🏻‍♀️  https://t.co/rhVnSoPLLt",Positive
@missmayamulia salah 1 PBKK (Pecinta Berat Kopi Kenangan) pak 😌  https://t.co/jzZgZqGbra,Negative
@ibunyayello @missmayamulia Wkwkwkkw duta kopi kenangan,Negative
"@Kopikenangan_ID memiliki promo yang memberikan diskon untuk transaksi di aplikasi Kopi Kenangan menggunakan kartu kredit @CIMBNiaga  Jangan sampai ketinggalan ya, promo ini hingga 28 Februari 2022.  #pointsgeek  https://t.co/xA5IFAsjIk",Negative
"Ini Daftar Startup Unicorn Indonesia 2021, Terbaru Kopi Kenangan  https://t.co/OWcHDNYA5F",Negative
@WichitaAbror_ @Kopikenangan_ID @JanjiJiwaID Klo pilih opsi less sugar tetep enak ga?,Positive
Kopi Kenangan Menjadi Unicorn di Akhir Tahun 2021!  https://t.co/lUV8nViZkf,Negative
Wkwkwk semua orang pwt lagi minum kopi kenangan,Negative
@apaaansiahh Hahaa mau labas kopi kenangan tp pesenan org rumah takut kelamaan,Negative
mending thai tea nya kopi kenangan apa dumdum ya…,Negative
@Kopikenangan_ID buka di Kuningan jabar dong hayu hayu hayuuu kenapa ga pernah di gubris ;(,Negative
"@Kopikenangan_ID Selamat buat kopi kenganan, Semoga semakin sukses",Positive
@WichitaAbror_ @Kopikenangan_ID @JanjiJiwaID Waaa aku malah belum pernah nyobain kopi janji janji kenangan jiwa,Negative
"@pinkmollie527 janjiww enakkk, kopi kenangan blum coba sii hehe",Negative
What a surprise! Thx Nasdaq utk dukungan ucapannya terhadap Kopi Kenangan yg telah menjadi F&amp;B Unicorn pertama di Asia Tenggara! Minbeb jg ingin ucapkan terima kasih kpda slrh penikmat &amp; karyawan Kopi Kenangan yg trs mendukung sampai sejauh ini. #KopiKenangan #FromMantanToUnicorn  https://t.co/9VtK7fdGkV,Positive
kopi kenangan kopi paling enak se indonesia. no debate.  bismillah dikirimi ke rumah...aminn,Positive
@xolovelyxx lunchnya tadi nasi kebuli kambing aja wak. abis itu minum kopi kenangan 😆,Negative
fakmen kopi kenangan hrs bikin booth baru bercolokan di gps gua gamau ke starbucks lg krn enakan kopken!!! tp kopken gada colokan dn wifi wicis anjeng kw,Negative
"Tetaplah selalu jadi orang baik.. Meski berkali-kali kau disakiti, tetaplah menjadi orang baik.. ☺️",Negative
Aku juga gak mau lagi....  Kenal deket sama itu bos kopi kenangan????,Negative
@AhmadIh2020 Kopi Kenangan? 🤭,Negative
@GiselaKayla137 barusan pesen kopi kenangan trus es batunya bulet ga kotak makannya ribet,Negative
kopi kenangan es batunya enak banget kaya ayam groeng krispi,Positive
